Age,Sex,Height ,Reason,SBF,EBF,Starting,Ending,CI,API,ACI,AFI,Sleep,HealthFactors,BMR
38,Male,70,Gaining muscle,21,20,195,98,4300,103,71,247,11.0,No,1939
40,Male,65,Gaining muscle,18,21,129,141,2561,102,49,435,6.5,No,1734
13,Male,59,Gaining muscle,19,16,195,108,4300,151,107,475,6.7,No,2303
13,Male,65,Gaining muscle,33,23,170,128,3015,99,53,79,11.0,No,1981
19,Male,64,Gaining muscle,17,16,179,146,2878,87,75,162,7.6,No,1319
47,Male,50,Gaining muscle,18,12,113,92,4300,166,80,116,11.0,No,1030
42,Male,62,Losing fat,17,28,128,94,2114,87,66,49,5.7,No,1030
13,Female,57,Losing fat,34,21,169,192,1759,225,32,216,5.2,No,2936
19,Male,67,Gaining muscle,20,24,174,137,1326,147,35,93,5.3,No,1746
39,Female,72,Gaining muscle,15,24,147,131,4300,225,47,134,5.9,No,1406
13,Female,59,Gaining muscle,22,19,171,92,2214,78,25,22,5.6,No,1386
32,Male,54,Losing fat,45,17,118,90,1926,61,59,135,5.5,No,1700
13,Female,67,Losing fat,45,26,104,95,1200,127,33,38,10.1,No,1073
14,Male,74,Gaining muscle,19,16,121,125,1633,180,98,66,6.2,No,1757
13,Female,58,Gaining muscle,19,16,112,127,3910,65,36,298,11.0,No,1030
54,Female,53,Gaining muscle,32,25,148,123,3684,211,102,39,7.1,No,1108
15,Female,53,Gaining muscle,19,26,110,188,1292,91,25,22,5.4,No,1030
13,Male,55,Losing fat,33,25,118,122,1200,159,25,92,11.0,No,1030
39,Female,61,Gaining muscle,45,25,121,201,1575,131,25,190,11.0,No,1773
13,Female,67,Gaining muscle,20,13,109,100,1689,108,88,53,7.3,No,1069
18,Male,65,Gaining muscle,31,17,185,126,2610,116,25,58,7.3,No,1030
13,Female,67,Gaining muscle,18,18,173,123,2072,210,31,107,7.6,No,1031
33,Female,50,Losing fat,37,29,164,134,1631,86,25,35,6.6,No,1030
16,Female,71,Gaining muscle,20,22,128,90,3938,102,63,124,11.0,No,1705
13,Female,61,Losing fat,20,30,125,91,1282,56,25,31,5.5,No,1139
13,Female,56,Gaining muscle,10,25,117,211,2321,142,50,59,4.5,No,1035
26,Male,60,Gaining muscle,18,19,179,116,4300,148,53,135,10.9,No,1079
39,Female,50,Gaining muscle,17,21,100,90,2831,150,32,115,7.4,No,2386
15,Male,62,Losing fat,15,18,106,90,1589,59,25,84,7.4,No,1080
13,Female,50,Losing fat,19,24,100,90,2211,81,25,39,7.7,No,1287
13,Male,64,Gaining muscle,17,15,106,95,2631,130,48,76,11.0,No,2096
13,Male,71,Gaining muscle,20,16,163,187,2468,67,39,381,6.9,No,1397
62,Male,55,Losing fat,22,24,164,104,1668,124,25,50,11.0,No,1307
16,Female,50,Losing fat,24,21,121,90,2227,51,25,78,6.8,No,1204
16,Male,63,Gaining muscle,18,16,170,172,3233,63,61,283,7.5,No,1257
28,Female,66,Gaining muscle,17,14,114,103,4300,63,97,451,8.5,No,1828
44,Female,60,Gaining muscle,20,24,110,98,4300,89,25,294,6.1,No,1436
13,Male,61,Gaining muscle,16,14,180,133,3200,72,91,87,7.9,No,1434
24,Male,66,Losing fat,34,27,148,148,4300,119,56,68,2.8,No,1030
29,Female,50,Losing fat,24,16,117,90,1433,74,41,79,7.8,No,1343
52,Female,59,Losing fat,29,17,138,93,1750,52,25,475,5.6,No,1608
13,Male,56,Gaining muscle,21,21,146,126,2955,84,48,22,5.3,No,1030
13,Female,55,Gaining muscle,21,24,119,90,4300,73,63,99,11.0,No,1402
55,Female,71,Gaining muscle,19,22,120,136,2391,205,39,57,5.2,No,1030
13,Female,62,Losing fat,34,19,104,124,2031,65,36,47,7.7,No,1486
13,Female,50,Losing fat,20,16,135,97,3798,62,25,81,5.8,No,1030
20,Female,64,Losing fat,34,17,158,90,2329,123,94,65,5.8,No,1030
27,Female,55,Losing fat,21,22,120,93,3139,81,94,53,6.8,No,1415
13,Female,50,Losing fat,22,21,148,122,1200,86,25,38,11.0,No,1238
41,Male,65,Gaining muscle,18,12,132,133,2815,189,107,475,7.2,No,1870
35,Female,64,Gaining muscle,14,19,176,108,3808,135,46,79,7.7,No,1606
13,Female,50,Gaining muscle,22,30,106,90,1745,75,25,22,7.2,No,1030
27,Male,65,Gaining muscle,15,17,170,210,4300,145,122,475,8.8,No,1875
40,Female,68,Gaining muscle,16,25,195,118,1200,74,40,76,5.5,No,2963
14,Male,75,Gaining muscle,12,19,184,215,1676,70,65,87,5.7,No,1277
51,Female,50,Gaining muscle,22,23,128,144,2383,225,36,77,11.0,No,2185
28,Female,57,Gaining muscle,34,20,151,134,3268,82,94,54,7.5,No,1531
13,Male,63,Gaining muscle,18,17,149,125,2420,162,67,136,11.0,No,1629
13,Female,52,Gaining muscle,40,18,113,107,1823,62,25,214,6.8,No,1124
42,Male,62,Gaining muscle,16,20,133,167,2991,225,33,107,7.8,No,1646
21,Female,50,Losing fat,16,28,167,175,1229,74,47,23,11.0,No,1030
13,Male,69,Gaining muscle,18,19,124,119,3355,157,49,114,4.1,No,2015
18,Female,70,Losing fat,23,21,111,90,3216,196,63,73,7.7,No,1108
16,Female,67,Losing fat,23,30,189,92,2450,225,57,41,11.0,No,1030
63,Female,66,Losing fat,21,17,165,92,2448,63,203,29,8.9,No,1575
13,Female,63,Losing fat,20,20,117,90,2267,65,25,60,5.3,No,1508
13,Female,50,Losing fat,35,21,100,124,1340,58,25,22,11.0,No,1212
29,Female,59,Losing fat,32,13,154,90,1533,148,68,60,7.3,No,1030
32,Female,50,Losing fat,21,18,176,95,1966,85,68,87,11.0,No,3257
28,Male,61,Gaining muscle,29,24,195,115,1692,144,46,45,10.0,No,1485
15,Male,63,Gaining muscle,21,15,116,119,2762,61,35,22,9.3,No,2025
26,Male,67,Gaining muscle,19,14,179,139,2088,112,57,292,5.0,No,1378
13,Female,62,Losing fat,25,12,177,90,2477,90,25,75,11.0,No,1172
16,Female,70,Gaining muscle,29,27,169,94,3132,225,43,93,11.0,No,1483
25,Male,73,Gaining muscle,18,14,195,157,3538,146,182,125,11.0,No,2142
13,Female,57,Losing fat,21,16,105,189,1430,76,25,65,11.0,No,1103
13,Female,50,Losing fat,22,27,114,90,2347,76,25,22,11.0,No,1030
28,Male,71,Losing fat,20,16,110,90,2354,91,25,104,11.0,No,1921
49,Female,71,Gaining muscle,21,16,195,129,4014,225,80,33,10.5,No,1810
24,Female,50,Gaining muscle,15,18,107,95,4300,103,77,82,5.3,No,1173
13,Female,58,Losing fat,21,15,137,90,2215,57,25,32,7.7,No,1176
21,Male,67,Losing fat,21,17,195,178,1588,83,66,88,4.3,No,1246
13,Male,72,Gaining muscle,19,16,180,150,3804,225,174,475,7.5,No,1859
13,Female,50,Losing fat,21,29,100,112,1200,58,166,53,5.3,No,1380
55,Female,55,Losing fat,38,30,108,119,1774,83,25,27,11.0,No,1303
41,Male,66,Gaining muscle,16,16,195,117,4099,84,161,86,9.7,No,2030
13,Male,50,Losing fat,22,12,104,128,3948,108,57,60,5.7,No,1350
13,Female,61,Gaining muscle,17,26,107,98,2537,107,46,297,10.8,No,1467
24,Male,62,Gaining muscle,14,18,124,141,2144,156,25,384,4.6,No,1660
13,Female,56,Losing fat,25,16,126,155,1200,72,25,22,11.0,No,1385
29,Female,62,Gaining muscle,45,16,187,90,2758,182,55,53,5.9,No,1135
21,Male,62,Gaining muscle,22,19,120,93,1829,79,86,93,11.0,No,1030
